Seed,eta,Accuracy,Renyi preds and s,TPR,TNR,prob_pos_sens_1.0,prob_pos_sens_0.0,prob_pos_sens_0.0-sens_1.0,prob_pos_sens_0.0/sens_1.0,TPR_sens_1.0,TPR_sens_0.0,TPR_sens_0.0-sens_1.0,TPR_sens_0.0/sens_1.0,TNR_sens_1.0,TNR_sens_0.0,TNR_sens_0.0-sens_1.0,TNR_sens_0.0/sens_1.0
888,0.01,0.671407186,0.369997569,0.398203593,0.944610778,0.381736527,0.071856287,0.30988024,0.188235294,0.652694611,0.143712575,0.508982036,0.220183486,0.889221557,1,0.110778443,0.889221557
888,0.1,0.674401198,0.366422713,0.401197605,0.94760479,0.380239521,0.073353293,0.306886228,0.192913386,0.655688623,0.146706587,0.508982036,0.223744292,0.895209581,1,0.104790419,0.895209581
888,0.5,0.676646707,0.356246552,0.405688623,0.94760479,0.378742515,0.079341317,0.299401198,0.209486166,0.652694611,0.158682635,0.494011976,0.243119266,0.895209581,1,0.104790419,0.895209581
888,1,0.5,1,0,1,0,0,0,nan,0,0,0,nan,1,1,0,1
1,0.01,0.65494012,0.359950216,0.368263473,0.941616766,0.360778443,0.065868263,0.29491018,0.182572614,0.607784431,0.128742515,0.479041916,0.21182266,0.886227545,0.997005988,0.110778443,0.888888889
1,0.1,0.650449102,0.363604533,0.363772455,0.937125749,0.362275449,0.064371257,0.297904192,0.17768595,0.601796407,0.125748503,0.476047904,0.208955224,0.877245509,0.997005988,0.119760479,0.87987988
1,0.5,0.648952096,0.357300209,0.354790419,0.943113772,0.350299401,0.061377246,0.288922156,0.175213675,0.586826347,0.122754491,0.464071856,0.209183673,0.886227545,1,0.113772455,0.886227545
1,1,0.5,1,1,0,1,1,0,1,1,1,0,1,0,0,0,nan
2410,0.01,0.660928144,0.335230625,0.372754491,0.949101796,0.348802395,0.074850299,0.273952096,0.214592275,0.601796407,0.143712575,0.458083832,0.23880597,0.904191617,0.994011976,0.089820359,0.909638554
2410,0.1,0.663922156,0.326230332,0.378742515,0.949101796,0.348802395,0.080838323,0.267964072,0.231759657,0.601796407,0.155688623,0.446107784,0.258706468,0.904191617,0.994011976,0.089820359,0.909638554
2410,0.5,0.666916168,0.311650206,0.381736527,0.952095808,0.342814371,0.086826347,0.255988024,0.253275109,0.595808383,0.167664671,0.428143713,0.281407035,0.910179641,0.994011976,0.083832335,0.915662651
2410,1,0.5,1,1,0,1,1,0,1,1,1,0,1,0,0,0,nan
1996,0.01,0.658682635,0.360617222,0.362275449,0.95508982,0.348802395,0.058383234,0.290419162,0.167381974,0.610778443,0.113772455,0.497005988,0.18627451,0.913173653,0.997005988,0.083832335,0.915915916
1996,0.1,0.657185629,0.360617222,0.360778443,0.953592814,0.348802395,0.058383234,0.290419162,0.167381974,0.607784431,0.113772455,0.494011976,0.187192118,0.910179641,0.997005988,0.086826347,0.912912913
1996,0.5,0.660179641,0.355929258,0.365269461,0.95508982,0.348802395,0.061377246,0.28742515,0.175965665,0.610778443,0.119760479,0.491017964,0.196078431,0.913173653,0.997005988,0.083832335,0.915915916
1996,1,0.5,1,1,0,1,1,0,1,1,1,0,1,0,0,0,nan
711,0.01,0.668413174,0.377497662,0.377245509,0.959580838,0.362275449,0.055389222,0.306886228,0.152892562,0.643712575,0.110778443,0.532934132,0.172093023,0.919161677,1,0.080838323,0.919161677
711,0.1,0.668413174,0.377497662,0.377245509,0.959580838,0.362275449,0.055389222,0.306886228,0.152892562,0.643712575,0.110778443,0.532934132,0.172093023,0.919161677,1,0.080838323,0.919161677
711,0.5,0.666167665,0.383978348,0.368263473,0.964071856,0.356287425,0.047904192,0.308383234,0.134453782,0.640718563,0.095808383,0.54491018,0.14953271,0.928143713,1,0.071856287,0.928143713
711,1,0.5,1,1,0,1,1,0,1,1,1,0,1,0,0,0,nan