seed,data,method,wandb_url,eta,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0/colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0/colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0/colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0/colour_1.0
1,baseline,"dro",(None),0.01,0.7641509433962265,0.5213849287169042,0.9951550387596899,0.5658979421785557,0.9952153110047847,0.5149638802889577,0.480251430715827,0.5174396681749623,0.49473684210526314,0.0,0.49473684210526314,0.0,1.0,0.0,1.0,0.0,0.9906191369606003,1.0,0.009380863039399667,0.9906191369606003
1,baseline,"dro",(None),0.1,0.7706057596822244,0.5356415478615071,0.9941860465116279,0.5453899793720893,0.9942583732057416,0.5294117647058824,0.46484660849985926,0.5324690030006228,0.49569377990430624,0.014447884416924664,0.48124589548738156,0.029146793852676205,1.0,0.029787234042553193,0.9702127659574468,0.029787234042553193,0.9887429643527205,1.0,0.011257035647279534,0.9887429643527205
1,baseline,"dro",(None),0.5,0.8426017874875869,0.6832993890020367,0.9941860465116279,0.3507387958924544,0.9942583732057416,0.6790505675954592,0.3152078056102824,0.6829719375719489,0.49569377990430624,0.16408668730650156,0.3316070925978047,0.33102430161253693,1.0,0.3382978723404255,0.6617021276595745,0.3382978723404255,0.9887429643527205,1.0,0.011257035647279534,0.9887429643527205
1,baseline,"dro",(None),1.0,0.5034756703078451,0.5244399185336049,0.48352713178294576,0.9970207078453657,0.48995215311004786,0.5180598555211559,0.028107702411107993,0.9457442955450923,1.0,0.0030959752321981426,0.9969040247678018,0.0030959752321981426,1.0,0.006382978723404255,0.9936170212765958,0.006382978723404255,0.0,1.0,1.0,0.0
2,baseline,"dro",(None),0.01,0.7656405163853028,0.5244399185336049,0.9951550387596899,0.576068063773702,0.5249237029501526,0.9951503394762367,0.4702266365260841,0.5274818106643346,0.0,0.504364694471387,0.504364694471387,0.0,0.0,1.0,1.0,0.0,1.0,0.9903100775193798,0.009689922480620172,0.9903100775193798
2,baseline,"dro",(None),0.1,0.766137040714995,0.5244399185336049,0.9961240310077519,0.5753213738555039,0.5249237029501526,0.9961202715809894,0.4711965686308368,0.526968196437787,0.0,0.5033947623666344,0.5033947623666344,0.0,0.0,1.0,1.0,0.0,1.0,0.9922480620155039,0.007751937984496138,0.9922480620155039
2,baseline,"dro",(None),0.5,0.7656405163853028,0.5244399185336049,0.9951550387596899,0.576068063773702,0.5249237029501526,0.9951503394762367,0.4702266365260841,0.5274818106643346,0.0,0.504364694471387,0.504364694471387,0.0,0.0,1.0,1.0,0.0,1.0,0.9903100775193798,0.009689922480620172,0.9903100775193798
2,baseline,"dro",(None),1.0,0.5849056603773585,0.5244399185336049,0.6424418604651163,0.8636431585144364,0.5249237029501526,0.6420950533462657,0.11717135039611315,0.8175171264978963,0.0,0.8574199806013579,0.8574199806013579,0.0,0.0,1.0,1.0,0.0,1.0,0.28488372093023256,0.7151162790697674,0.28488372093023256
4,baseline,"dro",(None),0.01,0.7472691161866931,0.48574338085539714,0.9961240310077519,0.5634938035547867,0.996003996003996,0.5014807502467917,0.4945232457572043,0.5034927091244118,0.4805194805194805,0.0,0.4805194805194805,0.0,1.0,0.0,1.0,0.0,0.9923664122137404,1.0,0.007633587786259555,0.9923664122137404
4,baseline,"dro",(None),0.1,0.7477656405163853,0.48676171079429736,0.9961240310077519,0.5619358469489202,0.996003996003996,0.5024679170779862,0.4935360789260098,0.504483836504578,0.4805194805194805,0.0009871668311944718,0.479532313688286,0.0020543742162695763,1.0,0.0019801980198019802,0.998019801980198,0.0019801980198019802,0.9923664122137404,1.0,0.007633587786259555,0.9923664122137404
4,baseline,"dro",(None),0.5,0.7899702085402185,0.5743380855397149,0.9951550387596899,0.4371602200140788,0.994005994005994,0.5883514313919053,0.4056545626140887,0.5918992792193941,0.4805194805194805,0.08687068114511352,0.393648799374367,0.18078493103172275,0.9979035639412998,0.17425742574257425,0.8236461381987255,0.1746235127714452,0.9904580152671756,1.0,0.009541984732824416,0.9904580152671756
4,baseline,"dro",(None),1.0,0.4890764647467726,0.48574338085539714,0.49224806201550386,1.0,0.47652347652347654,0.5014807502467917,0.024957273723315188,0.9502328380281136,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
6,baseline,"dro",(None),0.01,0.7696127110228401,0.5295315682281059,0.998062015503876,0.5891497919434732,0.53938185443669,0.9980217606330366,0.45863990619634665,0.5404509958726398,0.0,0.516320474777448,0.516320474777448,0.0,0.0,1.0,1.0,0.0,1.0,0.9959266802443992,0.004073319755600768,0.9959266802443992
8,baseline,"dro",(None),0.01,0.782025819265144,0.5610997963340122,0.9922480620155039,0.4848043403233638,0.9920239282153539,0.5736894164193868,0.41833451179596715,0.5783019946418542,0.4955134596211366,0.06132542037586548,0.4341880392452711,0.12376136144264202,1.0,0.1257606490872211,0.8742393509127789,0.1257606490872211,0.9844357976653697,1.0,0.015564202334630295,0.9844357976653697
6,baseline,"dro",(None),0.1,0.7696127110228401,0.5295315682281059,0.998062015503876,0.5891497919434732,0.53938185443669,0.9980217606330366,0.45863990619634665,0.5404509958726398,0.0,0.516320474777448,0.516320474777448,0.0,0.0,1.0,1.0,0.0,1.0,0.9959266802443992,0.004073319755600768,0.9959266802443992
8,baseline,"dro",(None),0.1,0.8336643495531281,0.664969450101833,0.9941860465116279,0.35305317740397274,0.9940179461615155,0.6745796241345203,0.3194383220269952,0.6786392808494722,0.4935194416749751,0.16221562809099901,0.3313038135839761,0.3286914645965091,1.0,0.332657200811359,0.6673427991886409,0.332657200811359,0.9883268482490273,1.0,0.011673151750972721,0.9883268482490273
6,baseline,"dro",(None),0.5,0.7686196623634558,0.5295315682281059,0.9961240310077519,0.590673378832134,0.53938185443669,0.9960435212660732,0.45666166682938325,0.5415243841464683,0.0,0.5182987141444114,0.5182987141444114,0.0,0.0,1.0,1.0,0.0,1.0,0.9918533604887984,0.008146639511201648,0.9918533604887984
8,baseline,"dro",(None),0.5,0.7562065541211519,0.5081466395112016,0.9922480620155039,0.5594535406352104,0.9920239282153539,0.5222551928783383,0.4697687353370156,0.5264542296049983,0.4955134596211366,0.009891196834817012,0.4856222627863196,0.019961509910103547,1.0,0.02028397565922921,0.9797160243407708,0.02028397565922921,0.9844357976653697,1.0,0.015564202334630295,0.9844357976653697
5,baseline,"dro",(None),0.01,0.7631578947368421,0.5173116089613035,0.997093023255814,0.5801957781430049,0.5269461077844312,0.9970355731225297,0.4700894653380985,0.5285128454686268,0.0,0.5049407114624506,0.5049407114624506,0.0,0.0,1.0,1.0,0.0,1.0,0.9940476190476191,0.005952380952380931,0.9940476190476191
6,baseline,"dro",(None),1.0,0.5382323733862959,0.05295315682281059,1.0,0.16344712339835646,0.5912263210368893,0.4856577645895153,0.105568556447374,0.8214413792298211,0.0518444666001994,0.0,0.0518444666001994,0.0,0.11255411255411256,0.0,0.11255411255411256,0.0,1.0,1.0,0.0,1.0
8,baseline,"dro",(None),1.0,0.7363455809334657,0.4969450101832994,0.9641472868217055,0.5961525611929244,0.9621136590229312,0.5123639960435212,0.44974966297941,0.5325399875975666,0.5234297108673978,0.0,0.5234297108673978,0.0,0.9979550102249489,0.0,0.9979550102249489,0.0,0.9280155642023347,1.0,0.07198443579766534,0.9280155642023347
5,baseline,"dro",(None),0.1,0.76266137040715,0.5162932790224033,0.997093023255814,0.5794350664359427,0.5269461077844312,0.9960474308300395,0.46910132304560836,0.5290371637677027,0.0,0.5039525691699605,0.5039525691699605,0.0,0.0,0.9980314960629921,0.9980314960629921,0.0,1.0,0.9940476190476191,0.005952380952380931,0.9940476190476191
3,baseline,"dro",(None),0.01,0.7651439920556107,0.5193482688391039,0.999031007751938,0.5609224162662126,0.512396694214876,0.9990439770554493,0.48664728284057335,0.512887025979675,0.0,0.48852772466539196,0.48852772466539196,0.0,0.0,1.0,1.0,0.0,1.0,0.9981343283582089,0.001865671641791078,0.9981343283582089
5,baseline,"dro",(None),0.5,0.7631578947368421,0.5162932790224033,0.998062015503876,0.5786743676210983,0.5269461077844312,0.9970355731225297,0.4700894653380985,0.5285128454686268,0.0,0.5029644268774703,0.5029644268774703,0.0,0.0,0.9980314960629921,0.9980314960629921,0.0,1.0,0.996031746031746,0.003968253968253954,0.996031746031746
3,baseline,"dro",(None),0.1,0.7651439920556107,0.5193482688391039,0.999031007751938,0.5609224162662126,0.512396694214876,0.9990439770554493,0.48664728284057335,0.512887025979675,0.0,0.48852772466539196,0.48852772466539196,0.0,0.0,1.0,1.0,0.0,1.0,0.9981343283582089,0.001865671641791078,0.9981343283582089
5,baseline,"dro",(None),1.0,0.519364448857994,0.014256619144602852,1.0,0.08325160682849124,0.5269461077844312,0.5118577075098815,0.015088400274549718,0.9713663312971613,0.0,0.01383399209486166,0.01383399209486166,0.0,0.0,0.027559055118110236,0.027559055118110236,0.0,1.0,1.0,0.0,1.0
7,baseline,"dro",(None),0.01,0.7557100297914597,0.5061099796334012,0.9932170542635659,0.5760139005600906,0.9930693069306931,0.5169322709163346,0.4761370360143584,0.5205399737043849,0.499009900990099,0.0,0.499009900990099,0.0,1.0,0.0,1.0,0.0,0.98635477582846,1.0,0.013645224171540016,0.98635477582846
3,baseline,"dro",(None),0.5,0.894240317775571,0.7861507128309573,0.997093023255814,0.22568487052450215,0.7830578512396694,0.997131931166348,0.2140740799266786,0.7853101748769838,0.2706611570247934,0.4904397705544933,0.2197786135296999,0.5518744059413916,0.5550847457627118,1.0,0.44491525423728817,0.5550847457627118,1.0,0.9944029850746269,0.005597014925373123,0.9944029850746269
7,baseline,"dro",(None),0.1,0.7557100297914597,0.5061099796334012,0.9932170542635659,0.5760139005600906,0.9930693069306931,0.5169322709163346,0.4761370360143584,0.5205399737043849,0.499009900990099,0.0,0.499009900990099,0.0,1.0,0.0,1.0,0.0,0.98635477582846,1.0,0.013645224171540016,0.98635477582846
3,baseline,"dro",(None),1.0,0.7591857000993049,0.515274949083503,0.9912790697674418,0.561586357735334,0.5134297520661157,0.9866156787762906,0.4731859267101749,0.5203948843615863,0.0010330578512396695,0.491395793499044,0.4903627356478043,0.0021022928256745023,0.00211864406779661,0.9901960784313726,0.988077434363576,0.0021396207417351903,1.0,0.9832089552238806,0.016791044776119368,0.9832089552238806
7,baseline,"dro",(None),0.5,0.7557100297914597,0.5061099796334012,0.9932170542635659,0.5760139005600906,0.9930693069306931,0.5169322709163346,0.4761370360143584,0.5205399737043849,0.499009900990099,0.0,0.499009900990099,0.0,1.0,0.0,1.0,0.0,0.98635477582846,1.0,0.013645224171540016,0.98635477582846
7,baseline,"dro",(None),1.0,0.5124131082423039,0.0,1.0,1.0,0.5079207920792079,0.5169322709163346,0.009011478837126718,0.9825673896869456,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
