seed,data,method,wandb_url,Clust Test Accuracy,Clust Test NMI,Clust Test ARI,Clust Test Acc y=0 s=0,Clust Test Acc y=0 s=1,Clust Test Acc y=1 s=0,Clust Test Acc y=1 s=1,Clust Context Accuracy,Clust Context NMI,Clust Context ARI,Clust Context Acc y=0 s=0,Clust Context Acc y=0 s=1,Clust Context Acc y=1 s=0,Clust Context Acc y=1 s=1,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0/colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0/colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0/colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0/colour_1.0
1,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2j802jd7,0.769116186693148,0.6957157317024453,0.6375874968291373,0.9839679358717435,0.9624765478424016,0.07446808510638298,0.99609375,0.850908409814572,0.7703438366792481,0.8012849410288387,0.9977578475336323,0.9317995069843878,0.0868421052631579,0.9920948616600791,0.5124131082423039,0.0,1.0,1.0,0.5100478468899522,0.5149638802889577,0.004916033399005482,0.990453634541811,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
5,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/gh174sw1,0.9622641509433962,0.8893795052994434,0.9058293491364275,1.0,0.9801587301587301,0.869198312236287,0.9921259842519685,0.9722536806342016,0.9127513124620608,0.9439115856042165,0.9992690058479532,0.9835931091058244,0.8545688545688546,0.9932781799379524,0.5124131082423039,0.0,1.0,1.0,0.5269461077844312,0.4980237154150198,0.02892239236941141,0.9451131872080488,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
9,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2csm8b24,0.9428997020854022,0.8604062488914938,0.8622951819940666,0.9730769230769231,0.990234375,0.8165322580645161,0.9897119341563786,0.9624244712990937,0.8896138261408653,0.9087145038181292,0.9765291607396871,0.9907640638119227,0.8130601792573624,0.9953076120959332,0.5124131082423039,0.0,1.0,1.0,0.5130260521042084,0.5118110236220472,0.0012150284821611512,0.9976316437007875,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
13,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/zdxcrygu,0.9707050645481629,0.9080368951547516,0.9245954693455891,0.9942965779467681,0.9901185770750988,0.9004065040650406,0.9959183673469387,0.978575455741402,0.9239857457818986,0.9551949754687418,0.9971014492753624,0.980865224625624,0.8942558746736292,0.9969589457678661,0.5124131082423039,0.0,1.0,1.0,0.5080321285140562,0.5166994106090373,0.008667282094981132,0.9832256783789148,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
17,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/1t9gqn9q,0.5218470705064548,0.32898498325232184,0.24716208544408672,0.4481409001956947,0.4472168905950096,0.5477582846003899,0.6567164179104478,0.5575254620897775,0.33871646730167076,0.2854222899553828,0.4571016582552271,0.5895953757225434,0.4683053040103493,0.6452615225271879,0.5124131082423039,0.0,1.0,1.0,0.5262626262626262,0.4990234375,0.02723918876262621,0.9482403130998082,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
25,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/3tbm9qwk,0.5685203574975174,0.49713146240971706,0.3837988115296892,0.2262357414448669,0.7233201581027668,0.7933884297520661,0.5542168674698795,0.5905496987951807,0.4800824835101048,0.36444649589854267,0.7754952311078503,0.7281879194630873,0.21254801536491677,0.5293522267206477,0.5124131082423039,0.0,1.0,1.0,0.5207920792079208,0.5039840637450199,0.016808015462900894,0.9677260539590686,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
21,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2c7k8lhu,0.7909632571996028,0.6657583364422007,0.5850706704803488,0.9881188118811881,0.7362428842504743,0.494,0.9522821576763485,0.8424128180961358,0.6873466759922744,0.680458771553915,0.9748923959827833,0.77307366638442,0.4468629961587708,0.948178553104156,0.5124131082423039,0.0,1.0,1.0,0.5024875621890548,0.5222993062438057,0.019811744054750946,0.9620682167908089,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
29,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2l40lyut,0.6782522343594836,0.5932547001595418,0.4877679092075913,0.9461077844311377,0.60075329566855,0.17922606924643583,0.9877800407331976,0.7723669309173273,0.6249323739223872,0.5890363541491506,0.957325746799431,0.6238377007607777,0.16751918158567775,0.9740529320186819,0.5124131082423039,0.0,1.0,1.0,0.5195694716242661,0.5050403225806451,0.014529149043621015,0.9720361764169856,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
2,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/1nl1z8e0,0.8962264150943396,0.8001240031436652,0.7750989282545208,0.9825581395348837,0.9748062015503876,0.6059957173447538,0.9941747572815534,0.928071171682756,0.8247770975205946,0.8360656329352415,0.9794617563739377,0.9675767918088737,0.6319095477386935,0.9894902785076195,0.5124131082423039,0.0,1.0,1.0,0.5249237029501526,0.5004849660523764,0.024438736897776203,0.9534432589718721,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
6,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/3hec45y0,0.7562065541211519,0.7082251408268481,0.6279846892720006,0.9852125693160814,0.9674134419551935,0.0,0.9903846153846154,0.8325485025428517,0.7430944439224534,0.732062238953231,0.9883126369612856,0.9525790349417638,0.0,0.9801121876593575,0.5124131082423039,0.0,1.0,1.0,0.53938185443669,0.4856577645895153,0.05372408984717464,0.9003969276955339,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
10,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/koaxb0r7,0.951837140019861,0.8874532705387171,0.8837382403131593,0.9980119284294234,0.9924385633270322,0.8194726166328601,0.9938650306748467,0.9672192916352675,0.908649742270399,0.9348587726763994,0.9978858350951374,0.983150800336984,0.8132295719844358,0.9963749352667012,0.5124131082423039,0.0,1.0,1.0,0.5196463654223968,0.5050200803212851,0.014626285101111747,0.9718533870833048,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
14,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/29dmo5vn,0.9265143992055611,0.8028247066679463,0.8180063558703294,0.9662921348314607,0.9518072289156626,0.8340248962655602,0.948,0.9346233327071201,0.8088565209197001,0.8532164950638131,0.9559748427672956,0.9531914893617022,0.8123359580052494,0.9554987212276215,0.5124131082423039,0.0,1.0,1.0,0.49899799599198397,0.5255905511811023,0.02659255518911835,0.9494044268311905,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
30,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/okiz6mri,0.9399205561072492,0.8309683353427144,0.8475056097631052,0.9961240310077519,0.9341085271317829,0.8381742738589212,0.986,0.9528051554207733,0.8548876801980649,0.8882720927930402,0.9978586723768736,0.9172354948805461,0.8395522388059702,0.989468141126909,0.5124131082423039,0.0,1.0,1.0,0.5170340681362725,0.5078740157480315,0.009160052388241025,0.9822834645669292,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
26,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/1axkauu1,0.964746772591857,0.90302256246986,0.91268912140393,0.9979757085020243,0.9851301115241635,0.8805031446540881,0.9900990099009901,0.9733811591466868,0.916019364558571,0.9436530116461461,0.9963768115942029,0.9866777685262281,0.8644501278772379,0.9927611168562565,0.5124131082423039,0.0,1.0,1.0,0.5158197507190796,0.5087538619979403,0.007065888721139335,0.9863016320889436,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
18,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/3quua6oc,0.288480635551142,0.01601596912204628,0.008031545419020077,0.6235294117647059,0.0,0.49404761904761907,0.029288702928870293,0.3212813787935556,0.016311803525028326,-0.0009247294922727433,0.5337738619676946,0.0,0.015873015873015872,0.4860557768924303,0.5124131082423039,0.0,1.0,1.0,0.522,0.5029585798816568,0.0190414201183432,0.9635221836813349,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
22,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/vou72e29,0.9275074478649454,0.8021846484457318,0.8260875407486299,0.9841584158415841,0.967741935483871,0.774468085106383,0.970703125,0.9333082140165787,0.8087181885654972,0.858903248001209,0.9870689655172413,0.953059513830679,0.7074742268041238,0.9727786337955829,0.5124131082423039,0.0,1.0,1.0,0.507218479307026,0.517948717948718,0.01073023864169198,0.9792832026224759,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
3,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/1uz66lle,0.9672293942403177,0.9024331196235637,0.9171150122005082,1.0,0.9682835820895522,0.9110169491525424,0.9862745098039216,0.9710798122065728,0.9091985418286518,0.9359850526417268,0.9992862241256245,0.9780590717299578,0.8720626631853786,0.9853015712113533,0.5124131082423039,0.0,1.0,1.0,0.512396694214876,0.5124282982791587,3.160406428270868e-05,0.9999383249044035,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
7,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/23e24hww,0.9568023833167825,0.8800597329290502,0.8911987091903301,0.9961464354527938,0.9844054580896686,0.8556701030927835,0.9859154929577465,0.9748249100889647,0.9177029087267311,0.9449184159703338,0.9978601997146933,0.9790444258172674,0.8783269961977186,0.995260663507109,0.5124131082423039,0.0,1.0,1.0,0.5079207920792079,0.5169322709163346,0.009011478837126718,0.9825673896869456,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
11,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/97crqidi,0.9478649453823237,0.8673947012474256,0.8706273342724176,1.0,0.9824561403508771,0.8113590263691683,0.9938650306748467,0.9678030303030303,0.9011690312391181,0.9313900628889706,0.9985955056179775,0.976824034334764,0.8366834170854272,0.9941952506596307,0.5124131082423039,0.0,1.0,1.0,0.5128458498023716,0.5119760479041916,0.0008698018981799782,0.998303970094493,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
15,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/3404gws0,0.6385302879841113,0.5490152653533067,0.4196150781980506,0.8252427184466019,0.586073500967118,0.4074803149606299,0.740506329113924,0.6824886535552194,0.562427389239366,0.4796626327098621,0.8311499272197962,0.6175,0.3893805309734513,0.7373894955798231,0.5124131082423039,0.0,1.0,1.0,0.5034213098729228,0.5216952573158425,0.01827394744291977,0.9649719885571886,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
19,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/1mgxakym,0.4160873882820258,0.2174803143069379,0.19219322218912951,0.09923664122137404,0.7125984251968503,0.8582995951417004,0.0,0.5281637251220428,0.22002932256641974,0.2277449769127967,0.6771488469601677,0.11969439728353141,0.0,0.8693210821847882,0.5124131082423039,0.0,1.0,1.0,0.5147347740667977,0.5100401606425703,0.00469461342422739,0.9908795487292682,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
23,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/4d4k9rg6,0.9553128103277061,0.871196986443269,0.8880158209201463,0.9702970297029703,0.9886148007590133,0.8689516129032258,0.9917695473251029,0.9685913108895994,0.9000612421823334,0.9228471588927684,0.9822316986496091,0.9897610921501706,0.8462532299741602,0.9943991853360489,0.5124131082423039,0.0,1.0,1.0,0.5044955044955045,0.5202369200394866,0.015741415543982118,0.9697418331194423,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
31,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/3glxh9zg,0.5948361469712016,0.47578323796201183,0.3472833457742889,0.6081081081081081,0.519455252918288,0.7191235059760956,0.53125,0.5776281331836888,0.4651570620869477,0.3281827080759712,0.6239130434782608,0.5045795170691091,0.7017310252996005,0.5431976166832175,0.5124131082423039,0.0,1.0,1.0,0.5171026156941649,0.5078431372549019,0.009259478439263003,0.9820935378042268,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
27,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2rqhkhcv,0.958291956305859,0.8765999288440055,0.8942316954850488,0.967741935483871,0.9794776119402985,0.897196261682243,0.9955257270693513,0.9655885671305002,0.8868872649368472,0.91523556187397,0.958041958041958,0.9784853700516352,0.8847150259067358,0.9953940634595702,0.5124131082423039,0.0,1.0,1.0,0.5452695829094608,0.481086323957323,0.06418325895213783,0.8822907769590457,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
4,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/3hb0z34m,0.4513406156901688,0.2781053259065008,0.2296686874265408,0.05905511811023622,0.6603053435114504,0.30297029702970296,0.7966457023060797,0.5144149236856982,0.2807960394792891,0.26459154070705043,0.6407697790449037,0.07005838198498748,0.2844155844155844,0.7896640826873385,0.5124131082423039,0.0,1.0,1.0,0.5234765234765235,0.5014807502467917,0.021995773229731785,0.9579813568645773,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
8,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/3hkthfej,0.9553128103277061,0.8944306272457168,0.8891187243089191,1.0,0.980544747081712,0.8417849898580122,0.9959100204498977,0.9644603234298609,0.8998665350769474,0.9255039423472454,0.9957865168539326,0.973458904109589,0.8158236057068742,0.9948849104859335,0.5124131082423039,0.0,1.0,1.0,0.5124626121635095,0.5123639960435212,9.86161199882929e-05,0.9998075642639139,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
12,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/ulgqmba8,0.4443892750744787,0.35923885345586326,0.3035467219765699,0.17408123791102514,0.5902912621359223,0.13785557986870897,0.8342857142857143,0.5196835562252778,0.37383428258979085,0.3551603907605546,0.19408369408369408,0.5868852459016394,0.11764705882352941,0.868937048503612,0.5124131082423039,0.0,1.0,1.0,0.4951923076923077,0.5308008213552361,0.03560851366292839,0.9329154887665527,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
16,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2ic731jw,0.9726911618669315,0.9207969985621525,0.929051271407685,1.0,0.988527724665392,0.9064327485380117,0.997867803837953,0.9803736554066805,0.9316046685127604,0.9569146527551232,0.9978494623655914,0.9858096828046744,0.9050064184852374,0.9948105864037364,0.5124131082423039,0.0,1.0,1.0,0.5272177419354839,0.4980430528375734,0.02917468909791049,0.9446629223993743,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
32,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2b1ep0mk,0.9448857994041708,0.8700369505263169,0.8631960725002591,0.9981481481481481,0.9451219512195121,0.8340336134453782,0.9920948616600791,0.9586245985263555,0.8885030548403462,0.9064569818899898,0.9978828510938603,0.9453458582408198,0.826362484157161,0.9921711899791231,0.5124131082423039,0.0,1.0,1.0,0.531496062992126,0.49298597194388777,0.03851009104823827,0.927543976842574,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
28,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/3mydmdvl,0.9597815292949354,0.8774030690784389,0.8997871602593758,0.9885057471264368,0.9803921568627451,0.8636363636363636,0.9961538461538462,0.9720332577475435,0.9055996645086178,0.9330820561477501,0.9907076483202287,0.9829497016197783,0.8602015113350125,0.9979231568016614,0.5124131082423039,0.0,1.0,1.0,0.5304878048780488,0.49514563106796117,0.03534217381008764,0.9333779712085705,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
24,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/uqdqd06h,0.6142005958291956,0.44623026983716324,0.3519145380657973,0.4369918699186992,0.6759259259259259,0.72265625,0.6106382978723405,0.5702697604225618,0.41853725547477505,0.3091670333488234,0.44835164835164837,0.643801652892562,0.6961538461538461,0.5596094552929085,0.5124131082423039,0.0,1.0,1.0,0.4900398406374502,0.5346534653465347,0.044613624709084476,0.916555998229305,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
20,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2zx0d1e9,0.9632571996027806,0.8941940014073676,0.9063287754367806,0.9980506822612085,0.9826589595375722,0.8822355289421158,0.9896049896049897,0.974363807728558,0.9134724822221105,0.9442162423778208,0.998546511627907,0.979557069846678,0.8863636363636364,0.9898115129903209,0.5124131082423039,0.0,1.0,1.0,0.519,0.5059171597633136,0.013082840236686377,0.9747922153435715,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
