seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_sens_Label_1.0,Accuracy_sens_Label_0.0,Accuracy_sens_Label_0.0-sens_Label_1.0,Accuracy_sens_Label_0.0÷sens_Label_1.0,prob_pos_sens_Label_1.0,prob_pos_sens_Label_0.0,prob_pos_sens_Label_0.0-sens_Label_1.0,prob_pos_sens_Label_0.0÷sens_Label_1.0,TPR_sens_Label_1.0,TPR_sens_Label_0.0,TPR_sens_Label_0.0-sens_Label_1.0,TPR_sens_Label_0.0÷sens_Label_1.0,TNR_sens_Label_1.0,TNR_sens_Label_0.0,TNR_sens_Label_0.0-sens_Label_1.0,TNR_sens_Label_0.0÷sens_Label_1.0
3,baseline,"cnn",(None),0.8181137724550899,0.7979041916167665,0.8383233532934131,0.1722964872814072,0.8143712574850299,0.8218562874251497,0.007485029940119792,0.9908925318761383,0.5658682634730539,0.3937125748502994,0.17215568862275443,0.6957671957671958,0.8802395209580839,0.7155688622754491,0.16467065868263475,0.8129251700680272,0.7485029940119761,0.9281437125748503,0.17964071856287422,0.8064516129032259
1,baseline,"cnn",(None),0.8203592814371258,0.8233532934131736,0.8173652694610778,0.07485164136957864,0.7949101796407185,0.8458083832335329,0.050898203592814384,0.9398230088495575,0.5404191616766467,0.4655688622754491,0.07485029940119764,0.8614958448753463,0.8353293413173652,0.811377245508982,0.0239520958083832,0.971326164874552,0.7544910179640718,0.8802395209580839,0.12574850299401208,0.857142857142857
4,baseline,"cnn",(None),0.7934131736526946,0.7200598802395209,0.8667664670658682,0.18160568240963287,0.8188622754491018,0.7679640718562875,0.050898203592814384,0.9378427787934186,0.5164670658682635,0.33682634730538924,0.17964071856287428,0.6521739130434783,0.8353293413173652,0.6047904191616766,0.2305389221556886,0.7240143369175628,0.8023952095808383,0.9311377245508982,0.12874251497005984,0.8617363344051447
2,baseline,"cnn",(None),0.8158682634730539,0.7904191616766467,0.8413173652694611,0.04496846567811342,0.7784431137724551,0.8532934131736527,0.07485029940119758,0.912280701754386,0.49700598802395207,0.45209580838323354,0.04491017964071853,0.9096385542168676,0.7754491017964071,0.8053892215568862,0.029940119760479056,0.9628252788104089,0.781437125748503,0.9011976047904192,0.11976047904191622,0.8671096345514949
24,baseline,"cnn",(None),0.7926646706586826,0.7739520958083832,0.811377245508982,0.08838527303814828,0.7649700598802395,0.8203592814371258,0.0553892215568863,0.9324817518248174,0.5254491017964071,0.437125748502994,0.08832335329341312,0.831908831908832,0.7904191616766467,0.7574850299401198,0.03293413173652693,0.9583333333333334,0.7395209580838323,0.8832335329341318,0.14371257485029942,0.8372881355932204
27,baseline,"cnn",(None),0.8068862275449101,0.7709580838323353,0.842814371257485,0.09305491860774995,0.8008982035928144,0.812874251497006,0.0119760479041916,0.9852670349907919,0.5104790419161677,0.4176646706586826,0.09281437125748504,0.8181818181818181,0.811377245508982,0.7305389221556886,0.08083832335329344,0.9003690036900369,0.7904191616766467,0.8952095808383234,0.10479041916167664,0.882943143812709
5,baseline,"cnn",(None),0.8308383233532934,0.811377245508982,0.8502994011976048,0.04194795390281446,0.7979041916167665,0.8637724550898204,0.06586826347305386,0.9237435008665512,0.5014970059880239,0.4595808383233533,0.041916167664670656,0.9164179104477612,0.7994011976047904,0.8233532934131736,0.0239520958083832,0.9709090909090909,0.7964071856287425,0.9041916167664671,0.10778443113772462,0.8807947019867549
16,baseline,"cnn",(None),0.7664670658682635,0.7050898203592815,0.8278443113772455,0.25039672730817375,0.7784431137724551,0.7544910179640718,0.02395209580838331,0.9692307692307691,0.562874251497006,0.3143712574850299,0.24850299401197606,0.5585106382978723,0.8413173652694611,0.5688622754491018,0.27245508982035926,0.6761565836298933,0.7155688622754491,0.9401197604790419,0.22455089820359275,0.7611464968152867
28,baseline,"cnn",(None),0.7844311377245509,0.7380239520958084,0.8308383233532934,0.17741252017473852,0.7934131736526946,0.7754491017964071,0.017964071856287456,0.9773584905660377,0.5419161676646707,0.3652694610778443,0.17664670658682635,0.6740331491712707,0.8353293413173652,0.6407185628742516,0.1946107784431137,0.7670250896057349,0.7514970059880239,0.9101796407185628,0.1586826347305389,0.8256578947368421
29,baseline,"cnn",(None),0.8248502994011976,0.7994011976047904,0.8502994011976048,0.04197056796623923,0.8038922155688623,0.8458083832335329,0.041916167664670656,0.9504424778761063,0.49550898203592814,0.4535928143712575,0.041916167664670656,0.9154078549848943,0.7994011976047904,0.7994011976047904,0.0,1.0,0.8083832335329342,0.8922155688622755,0.08383233532934131,0.9060402684563759
17,baseline,"cnn",(None),0.8158682634730539,0.7395209580838323,0.8922155688622755,0.11209290940408297,0.811377245508982,0.8203592814371258,0.008982035928143728,0.9890510948905109,0.47904191616766467,0.36826347305389223,0.11077844311377244,0.76875,0.7904191616766467,0.688622754491018,0.10179640718562877,0.8712121212121212,0.8323353293413174,0.9520958083832335,0.11976047904191611,0.8742138364779874
18,baseline,"cnn",(None),0.7979041916167665,0.7335329341317365,0.8622754491017964,0.19322477238864355,0.8158682634730539,0.7799401197604791,0.0359281437125748,0.9559633027522937,0.531437125748503,0.3398203592814371,0.19161676646706588,0.6394366197183098,0.8473053892215568,0.6197604790419161,0.22754491017964074,0.7314487632508834,0.7844311377245509,0.9401197604790419,0.15568862275449102,0.8343949044585988
19,baseline,"cnn",(None),0.7836826347305389,0.7275449101796407,0.8398203592814372,0.25460384090526333,0.8038922155688623,0.7634730538922155,0.04041916167664672,0.9497206703910615,0.5703592814371258,0.31736526946107785,0.25299401197604793,0.5564304461942257,0.874251497005988,0.5808383233532934,0.2934131736526946,0.6643835616438356,0.7335329341317365,0.9461077844311377,0.21257485029940126,0.7753164556962024
20,baseline,"cnn",(None),0.8233532934131736,0.8203592814371258,0.8263473053892215,0.10479229791741008,0.8008982035928144,0.8458083832335329,0.04491017964071853,0.9469026548672567,0.5494011976047904,0.44461077844311375,0.1047904191616767,0.8092643051771117,0.8502994011976048,0.7904191616766467,0.05988023952095811,0.9295774647887324,0.7514970059880239,0.9011976047904192,0.14970059880239528,0.8338870431893687
21,baseline,"cnn",(None),0.7911676646706587,0.7290419161676647,0.8532934131736527,0.17350018364298994,0.7934131736526946,0.7889221556886228,0.004491017964071808,0.9943396226415095,0.5239520958083832,0.35179640718562877,0.17215568862275443,0.6714285714285715,0.8173652694610778,0.6407185628742516,0.17664670658682624,0.783882783882784,0.7694610778443114,0.937125748502994,0.16766467065868262,0.8210862619808307
22,baseline,"cnn",(None),0.7979041916167665,0.7604790419161677,0.8353293413173652,0.1861509365258893,0.7859281437125748,0.8098802395209581,0.02395209580838331,0.9704251386321626,0.5553892215568862,0.36976047904191617,0.18562874251497002,0.6657681940700809,0.8413173652694611,0.6796407185628742,0.16167664670658688,0.8078291814946619,0.7305389221556886,0.9401197604790419,0.20958083832335328,0.7770700636942676
23,baseline,"cnn",(None),0.8323353293413174,0.8278443113772455,0.8368263473053892,0.026947194815362122,0.8203592814371258,0.844311377245509,0.0239520958083832,0.9716312056737589,0.5089820359281437,0.4820359281437126,0.026946107784431128,0.9470588235294117,0.8293413173652695,0.8263473053892215,0.0029940119760479833,0.9963898916967509,0.811377245508982,0.8622754491017964,0.050898203592814384,0.9409722222222222
26,baseline,"cnn",(None),0.7941616766467066,0.7724550898203593,0.8158682634730539,0.1453466130809132,0.7754491017964071,0.812874251497006,0.03742514970059885,0.9539594843462246,0.5508982035928144,0.405688622754491,0.14520958083832336,0.7364130434782609,0.8263473053892215,0.718562874251497,0.10778443113772451,0.8695652173913044,0.7245508982035929,0.907185628742515,0.1826347305389221,0.7986798679867988
25,baseline,"cnn",(None),0.7694610778443114,0.6452095808383234,0.8937125748502994,0.15145764223171584,0.781437125748503,0.7574850299401198,0.0239520958083832,0.9693486590038315,0.4491017964071856,0.3023952095808383,0.1467065868263473,0.6733333333333333,0.7305389221556886,0.5598802395209581,0.1706586826347305,0.7663934426229508,0.8323353293413174,0.9550898203592815,0.1227544910179641,0.8714733542319749
30,baseline,"cnn",(None),0.7956586826347305,0.7290419161676647,0.8622754491017964,0.1193273152916388,0.7979041916167665,0.7934131736526946,0.0044910179640719194,0.9943714821763602,0.49251497005988026,0.37425149700598803,0.11826347305389223,0.7598784194528875,0.7904191616766467,0.6676646706586826,0.1227544910179641,0.8446969696969697,0.8053892215568862,0.9191616766467066,0.11377245508982037,0.8762214983713354
6,baseline,"cnn",(None),0.7956586826347305,0.7799401197604791,0.811377245508982,0.13929040375746793,0.7994011976047904,0.7919161676646707,0.007485029940119792,0.9906367041198502,0.5538922155688623,0.41467065868263475,0.1392215568862275,0.7486486486486487,0.8532934131736527,0.7065868263473054,0.1467065868263473,0.8280701754385965,0.7455089820359282,0.8772455089820359,0.1317365269461077,0.8498293515358363
7,baseline,"cnn",(None),0.8068862275449101,0.8173652694610778,0.7964071856287425,0.1437441474992037,0.7859281437125748,0.8278443113772455,0.041916167664670656,0.9493670886075949,0.5823353293413174,0.43862275449101795,0.14371257485029942,0.7532133676092545,0.8682634730538922,0.7664670658682635,0.10179640718562866,0.8827586206896553,0.7035928143712575,0.8892215568862275,0.18562874251496997,0.7912457912457913
8,baseline,"cnn",(None),0.8106287425149701,0.8023952095808383,0.8188622754491018,0.10929625674965338,0.7949101796407185,0.8263473053892215,0.03143712574850299,0.9619565217391305,0.5464071856287425,0.437125748502994,0.10928143712574845,0.8,0.8413173652694611,0.7634730538922155,0.07784431137724557,0.9074733096085409,0.7485029940119761,0.8892215568862275,0.14071856287425144,0.8417508417508418
9,baseline,"cnn",(None),0.7941616766467066,0.7455089820359282,0.842814371257485,0.17598482407485247,0.7964071856287425,0.7919161676646707,0.004491017964071808,0.9943609022556391,0.5389221556886228,0.36377245508982037,0.17514970059880242,0.6749999999999999,0.8353293413173652,0.655688622754491,0.17964071856287422,0.7849462365591399,0.7574850299401198,0.9281437125748503,0.1706586826347305,0.8161290322580645
10,baseline,"cnn",(None),0.8166167664670658,0.8023952095808383,0.8308383233532934,0.12130656411377701,0.7949101796407185,0.8383233532934131,0.04341317365269459,0.9482142857142858,0.5464071856287425,0.4251497005988024,0.12125748502994005,0.778082191780822,0.8413173652694611,0.7634730538922155,0.07784431137724557,0.9074733096085409,0.7485029940119761,0.9131736526946108,0.16467065868263475,0.819672131147541
11,baseline,"cnn",(None),0.7844311377245509,0.7230538922155688,0.8458083832335329,0.17799285435159337,0.7934131736526946,0.7754491017964071,0.017964071856287456,0.9773584905660377,0.5269461077844312,0.3502994011976048,0.1766467065868264,0.6647727272727272,0.8203592814371258,0.625748502994012,0.1946107784431138,0.7627737226277372,0.7664670658682635,0.9251497005988024,0.1586826347305389,0.8284789644012945
12,baseline,"cnn",(None),0.7889221556886228,0.7095808383233533,0.8682634730538922,0.17284873807295756,0.7904191616766467,0.7874251497005988,0.0029940119760478723,0.9962121212121212,0.5059880239520959,0.33532934131736525,0.1706586826347306,0.6627218934911242,0.7964071856287425,0.6227544910179641,0.17365269461077837,0.7819548872180452,0.7844311377245509,0.9520958083832335,0.16766467065868262,0.8238993710691824
13,baseline,"cnn",(None),0.8233532934131736,0.8248502994011976,0.8218562874251497,0.08982076186383145,0.7949101796407185,0.8517964071856288,0.05688622754491024,0.9332161687170474,0.5464071856287425,0.4565868263473054,0.08982035928143706,0.8356164383561645,0.8413173652694611,0.8083832335329342,0.03293413173652693,0.9608540925266904,0.7485029940119761,0.8952095808383234,0.1467065868263473,0.8361204013377926
14,baseline,"cnn",(None),0.7889221556886228,0.7200598802395209,0.8577844311377245,0.15416370314837738,0.7949101796407185,0.7829341317365269,0.0119760479041916,0.984934086629002,0.5074850299401198,0.35479041916167664,0.15269461077844315,0.6991150442477876,0.8023952095808383,0.6377245508982036,0.16467065868263475,0.7947761194029851,0.7874251497005988,0.9281437125748503,0.14071856287425144,0.8483870967741937
15,baseline,"cnn",(None),0.7642215568862275,0.6751497005988024,0.8532934131736527,0.15365540277983641,0.7829341317365269,0.7455089820359282,0.03742514970059874,0.9521988527724666,0.4865269461077844,0.33532934131736525,0.15119760479041916,0.6892307692307692,0.7694610778443114,0.5808383233532934,0.18862275449101795,0.754863813229572,0.7964071856287425,0.9101796407185628,0.11377245508982037,0.875
