seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0÷colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0÷colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0÷colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0÷colour_1.0
1,baseline,"cnn",(None),0.7800397219463754,0.5987780040733197,0.9525193798449613,0.39209757580930815,0.9980861244019139,0.544891640866873,0.4531944835350409,0.5459364954035305,0.49186602870813395,0.12693498452012383,0.36493104418801015,0.25806820782787826,1.0,0.16170212765957448,0.8382978723404255,0.16170212765957448,0.9962476547842402,0.905811623246493,0.09043603153774715,0.9092233431080617
2,baseline,"cnn",(None),0.7656405163853028,0.5244399185336049,0.9951550387596899,0.576068063773702,0.5249237029501526,0.9951503394762367,0.4702266365260841,0.5274818106643346,0.0,0.504364694471387,0.504364694471387,0.0,0.0,1.0,1.0,0.0,1.0,0.9903100775193798,0.009689922480620172,0.9903100775193798
3,baseline,"cnn",(None),0.7730883813306852,0.5366598778004074,0.998062015503876,0.5357750243703746,0.5299586776859504,0.9980879541108987,0.4681292764249483,0.5309739241949273,0.01756198347107438,0.4894837476099426,0.4719217641388682,0.03587858341942149,0.036016949152542374,1.0,0.9639830508474576,0.036016949152542374,1.0,0.996268656716418,0.003731343283582045,0.996268656716418
4,baseline,"cnn",(None),0.7487586891757696,0.48574338085539714,0.999031007751938,0.561184961507622,0.999000999000999,0.5014807502467917,0.4975202487542073,0.5019822309970385,0.4775224775224775,0.0,0.4775224775224775,0.0,1.0,0.0,1.0,0.0,0.9980916030534351,1.0,0.001908396946564861,0.9980916030534351
5,baseline,"cnn",(None),0.7641509433962265,0.5162932790224033,1.0,0.5771530007851,0.5269461077844312,0.9990118577075099,0.4720657499230787,0.5274673205517748,0.0,0.5009881422924901,0.5009881422924901,0.0,0.0,0.9980314960629921,0.9980314960629921,0.0,1.0,1.0,0.0,1.0
6,baseline,"cnn",(None),0.817279046673287,0.924643584521385,0.7151162790697675,0.1708363202983581,0.634097706879362,0.9990108803165183,0.36491317343715635,0.6347255263911237,0.6809571286141576,0.5133531157270029,0.16760401288715465,0.7538699488641053,0.841991341991342,0.9980769230769231,0.15608558108558113,0.8436136759836181,0.4565619223659889,1.0,0.5434380776340111,0.4565619223659889
7,baseline,"cnn",(None),0.7502482621648461,0.7179226069246436,0.7810077519379846,0.0639626635221385,0.998019801980198,0.500996015936255,0.49702378604394304,0.5019900556504142,0.49405940594059405,0.4302788844621514,0.06378052147844265,0.8709051569274007,1.0,0.4288659793814433,0.5711340206185567,0.4288659793814433,0.9961013645224172,0.5684007707129094,0.42770059380950776,0.5706254312636448
8,baseline,"cnn",(None),0.7492552135054618,1.0,0.5106589147286822,0.5683177340540798,1.0,0.5004945598417408,0.49950544015825915,0.5004945598417408,0.48753738783649053,0.9871414441147379,0.4996040562782474,0.49388807525319833,1.0,1.0,0.0,1.0,1.0,0.025096525096525095,0.974903474903475,0.025096525096525095
9,baseline,"cnn",(None),0.7527308838133069,0.49490835030549896,0.998062015503876,0.5705769557119561,0.9979959919839679,0.5118110236220472,0.4861849683619207,0.5128387566012079,0.48897795591182364,0.0,0.48897795591182364,0.0,1.0,0.0,1.0,0.0,0.99609375,1.0,0.00390625,0.99609375
10,baseline,"cnn",(None),0.7487586891757696,0.9989816700610998,0.5106589147286822,0.5896079582141134,0.9970530451866405,0.49497991967871485,0.5020731255079256,0.49644291451520367,0.481335952848723,1.0,0.518664047151277,0.481335952848723,0.9979550102249489,1.0,0.002044989775051076,0.9979550102249489,0.996219281663516,0.0,0.996219281663516,0.0
11,baseline,"cnn",(None),0.8028798411122146,0.9826883910386965,0.6317829457364341,0.37774986713545433,0.6106719367588933,0.9970059880239521,0.3863340512650588,0.6125057864188299,0.8448616600790514,0.48902195608782434,0.35583970399122705,0.5788189702466412,0.9675456389452333,0.9979550102249489,0.030409371279715658,0.9695283144348751,0.27167630057803466,0.9961013645224172,0.7244250639443826,0.2727396129090641
12,baseline,"cnn",(None),0.8952333664349553,0.8044806517311609,0.9815891472868217,0.21938176685965183,0.9990384615384615,0.784394250513347,0.21464421102511455,0.7851492016687978,0.5057692307692307,0.29055441478439425,0.2152148159848365,0.5744802117410077,1.0,0.5798687089715536,0.4201312910284464,0.5798687089715536,0.9980582524271845,0.965183752417795,0.03287450000938952,0.967061541819386
13,baseline,"cnn",(None),0.6464746772591857,0.5733197556008147,0.7160852713178295,0.13193700865363434,0.998995983935743,0.30157170923379173,0.6974242747019512,0.3018747963787503,0.49096385542168675,0.3605108055009823,0.13045304992070444,0.7342919474007737,0.9979591836734694,0.15040650406504066,0.8475526796084287,0.15071408382795487,1.0,0.4429657794676806,0.5570342205323193,0.4429657794676806
14,baseline,"cnn",(None),0.7636544190665343,0.5173116089613035,0.998062015503876,0.5692776197304866,0.9979959919839679,0.5334645669291339,0.464531425054834,0.5345357809189515,0.503006012024048,0.007874015748031496,0.49513199627601656,0.015653919754054647,1.0,0.016597510373443983,0.983402489626556,0.016597510373443983,0.9959839357429718,1.0,0.004016064257028162,0.9959839357429718
15,baseline,"cnn",(None),0.7452830188679245,0.48268839103869654,0.9951550387596899,0.567563628336779,0.5034213098729228,0.9949545913218971,0.49153328144897435,0.5059741562718727,0.0,0.48335015136226034,0.48335015136226034,0.0,0.0,1.0,1.0,0.0,1.0,0.9903288201160542,0.009671179883945835,0.9903288201160542
16,baseline,"cnn",(None),0.7423038728897716,0.47657841140529533,0.9951550387596899,0.5623398527430223,0.9939516129032258,0.4980430528375734,0.49590856006565237,0.5010737407858751,0.47681451612903225,0.0,0.47681451612903225,0.0,0.997867803837953,0.0,0.997867803837953,0.0,0.9904397705544933,1.0,0.009560229445506718,0.9904397705544933
17,baseline,"cnn",(None),0.7423038728897716,0.4775967413441955,0.9941860465116279,0.5650148677010917,0.9939393939393939,0.4990234375,0.4949159564393939,0.5020662633384146,0.4797979797979798,0.0,0.4797979797979798,0.0,1.0,0.0,1.0,0.0,0.9884836852207294,1.0,0.01151631477927062,0.9884836852207294
18,baseline,"cnn",(None),0.7482621648460774,0.48676171079429736,0.997093023255814,0.5640536816412016,0.997,0.5029585798816568,0.4940414201183432,0.5044719958692646,0.481,0.0,0.481,0.0,1.0,0.0,1.0,0.0,0.9942528735632183,1.0,0.005747126436781658,0.9942528735632183
19,baseline,"cnn",(None),0.7522343594836147,0.4969450101832994,0.9951550387596899,0.5732667591758258,0.5137524557956779,0.9959839357429718,0.482231479947294,0.5158240382787249,0.0009823182711198428,0.4939759036144578,0.492993585343338,0.001988595524462121,0.0,1.0,1.0,0.0,0.9980916030534351,0.9921259842519685,0.005965618801466621,0.994022974661628
20,baseline,"cnn",(None),0.7437934458788481,0.9969450101832994,0.502906976744186,0.5956207476801192,0.997,0.4940828402366864,0.5029171597633135,0.49556954888333643,0.478,1.0,0.522,0.478,0.9937629937629938,1.0,0.006237006237006182,0.9937629937629938,1.0,0.0,1.0,0.0
21,baseline,"cnn",(None),0.7497517378351539,0.4908350305498982,0.9961240310077519,0.562851600375137,0.5024875621890548,0.9960356788899901,0.49354811670093535,0.5044875126853297,0.0,0.48166501486620417,0.48166501486620417,0.0,0.0,1.0,1.0,0.0,1.0,0.9924098671726755,0.007590132827324458,0.9924098671726755
22,baseline,"cnn",(None),0.7656405163853028,0.5213849287169042,0.998062015503876,0.5670618939148685,0.9980750721847931,0.517948717948718,0.4801263542360751,0.5189476547239324,0.49470644850818096,0.0,0.49470644850818096,0.0,1.0,0.0,1.0,0.0,0.9962049335863378,1.0,0.003795066413662229,0.9962049335863378
23,baseline,"cnn",(None),0.7527308838133069,0.49490835030549896,0.998062015503876,0.5621406095448244,0.5044955044955045,0.998025666337611,0.4935301618421065,0.5054935173629536,0.0,0.4817374136229023,0.4817374136229023,0.0,0.0,1.0,1.0,0.0,1.0,0.9962049335863378,0.003795066413662229,0.9962049335863378
24,baseline,"cnn",(None),0.7363455809334657,0.48065173116089616,0.9796511627906976,0.5191271926717457,0.47310756972111556,0.998019801980198,0.5249122322590825,0.474046275216594,0.02091633466135458,0.46732673267326735,0.4464103980119128,0.044757411033830775,0.00390625,1.0,0.99609375,0.00390625,0.9613821138211383,0.9962962962962963,0.034914182475158095,0.9649560250249343
25,baseline,"cnn",(None),0.7293942403177756,0.9653767820773931,0.5048449612403101,0.5074748338101093,0.4633663366336634,0.9970119521912351,0.5336456155575717,0.4647550469332648,0.9504950495049505,0.49701195219123506,0.4534830973137154,0.5228979913678619,0.9318181818181818,0.9979919678714859,0.06617378605330415,0.9336930674958843,0.03231939163498099,0.9960474308300395,0.9637280391950586,0.032447643189088056
26,baseline,"cnn",(None),0.8227408142999006,0.8920570264765784,0.7567829457364341,0.15941983837373636,0.9990412272291467,0.6333676622039135,0.3656735650252332,0.6339755006513261,0.48322147651006714,0.6416065911431514,0.1583851146330843,0.7531429433246792,0.998019801980198,0.779874213836478,0.21814558814371998,0.7814215833083759,1.0,0.49190283400809715,0.5080971659919029,0.49190283400809715
27,baseline,"cnn",(None),0.7328699106256207,0.45519348268839105,0.997093023255814,0.5493390299194777,0.9969481180061037,0.481086323957323,0.5158617940487807,0.48255903719392707,0.4577822990844354,0.0,0.4577822990844354,0.0,1.0,0.0,1.0,0.0,0.9944029850746269,1.0,0.005597014925373123,0.9944029850746269
28,baseline,"cnn",(None),0.769116186693148,0.5295315682281059,0.997093023255814,0.5788832181994445,0.5304878048780488,0.9970873786407767,0.46659957376272787,0.5320374284560763,0.0,0.5077669902912622,0.5077669902912622,0.0,0.0,1.0,1.0,0.0,1.0,0.9941176470588236,0.00588235294117645,0.9941176470588236
29,baseline,"cnn",(None),0.7080436941410129,0.8655804480651731,0.5581395348837209,0.35929400659438343,0.9990215264187867,0.40826612903225806,0.5907553973865287,0.40866599791475783,0.4794520547945205,0.8225806451612904,0.34312859036676985,0.582863282299221,0.9979633401221996,0.7331975560081466,0.26476578411405294,0.7346938775510204,1.0,0.08982035928143713,0.9101796407185628,0.08982035928143713
30,baseline,"cnn",(None),0.759682224428997,0.5091649694501018,0.998062015503876,0.5710766190015462,0.5170340681362725,0.9980314960629921,0.4809974279267196,0.5180538591976853,0.0,0.4940944881889764,0.4940944881889764,0.0,0.0,1.0,1.0,0.0,1.0,0.9961240310077519,0.003875968992248069,0.9961240310077519
