bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_context.0,bias.subsample_context.1,bias.subsample_context.2,bias.subsample_context.3,bias.subsample_train.0,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.3,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.method,baselines.pred_s,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.colors,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (cnn),TPR (cnn),TNR (cnn),Renyi preds and s (cnn),Accuracy_colour_0.0 (cnn),Accuracy_colour_1.0 (cnn),Accuracy_colour_0.0-colour_1.0 (cnn),Accuracy_colour_0.0÷colour_1.0 (cnn),prob_pos_colour_0.0 (cnn),prob_pos_colour_1.0 (cnn),prob_pos_colour_0.0-colour_1.0 (cnn),prob_pos_colour_0.0÷colour_1.0 (cnn),TPR_colour_0.0 (cnn),TPR_colour_1.0 (cnn),TPR_colour_0.0-colour_1.0 (cnn),TPR_colour_0.0÷colour_1.0 (cnn),TNR_colour_0.0 (cnn),TNR_colour_1.0 (cnn),TNR_colour_0.0-colour_1.0 (cnn),TNR_colour_0.0÷colour_1.0 (cnn)
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,0,0,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7646474677259185,0.5173116089613035,1.0,0.5699334699326976,0.521255060728745,0.9990253411306044,0.4777702804018593,0.5217636022514072,0.0,0.4951267056530214,0.4951267056530214,0.0,0.0,0.9980353634577604,0.9980353634577604,0.0,1.0,1.0,0.0,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,1,1,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7720953326713009,0.5366598778004074,0.996124031007752,0.5796571792224632,0.5333333333333333,0.9961501443695862,0.4628168110362528,0.5353945249597424,0.0,0.5110683349374399,0.5110683349374399,0.0,0.0,1.0,1.0,0.0,1.0,0.9921875,0.0078125,0.9921875
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,2,2,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7462760675273088,0.4816700610997963,0.998062015503876,0.5661385170722979,0.5038986354775828,0.9979757085020244,0.4940770730244415,0.5049207422432574,0.0,0.4807692307692308,0.4807692307692308,0.0,0.0,1.0,1.0,0.0,1.0,0.996116504854369,0.003883495145631,0.996116504854369
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,3,3,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7482621648460774,0.4857433808553971,0.998062015503876,0.563071886149338,0.5024630541871922,0.997997997997998,0.4955349438108059,0.5034710041454413,0.0,0.4794794794794795,0.4794794794794795,0.0,0.0,1.0,1.0,0.0,1.0,0.9961685823754788,0.0038314176245211,0.9961685823754788
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,4,4,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7512413108242304,0.4918533604887983,0.998062015503876,0.5660092413750508,0.5069169960474308,0.998003992015968,0.4910869959685372,0.5079308300395257,0.0,0.4840319361277445,0.4840319361277445,0.0,0.0,1.0,1.0,0.0,1.0,0.9961464354527938,0.0038535645472062,0.9961464354527938
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,5,5,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7621648460774578,0.5132382892057027,0.999031007751938,0.5615119106441222,0.5117707267144319,0.9980713596914176,0.4863006329769856,0.5127596556549429,0.0,0.4869816779170685,0.4869816779170685,0.0,0.0,0.998019801980198,0.998019801980198,0.0,1.0,0.9981203007518796,0.0018796992481202,0.9981203007518796
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,6,6,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7512413108242304,0.4908350305498982,0.999031007751938,0.5902928119261793,0.5269631031220435,0.9989550679205852,0.4719919647985416,0.5275143197571084,0.0,0.5047021943573667,0.5047021943573667,0.0,0.0,1.0,1.0,0.0,1.0,0.9978947368421052,0.0021052631578947,0.9978947368421052
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,7,7,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7492552135054618,0.4877800407331975,0.998062015503876,0.567988715620711,0.5073457394711067,0.9979859013091642,0.4906401618380575,0.5083696461097972,0.0,0.4843907351460221,0.4843907351460221,0.0,0.0,1.0,1.0,0.0,1.0,0.9961089494163424,0.0038910505836575,0.9961089494163424
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,8,8,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7447864945382324,0.4806517311608961,0.996124031007752,0.5703079339239769,0.5058139534883721,0.9959266802443992,0.4901127267560271,0.5078827222142959,0.0,0.4847250509164969,0.4847250509164969,0.0,0.0,1.0,1.0,0.0,1.0,0.992156862745098,0.0078431372549019,0.992156862745098
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,9,9,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7517378351539226,0.4989816700610998,0.992248062015504,0.5910698932179065,0.5260115606936416,0.9918032786885246,0.4657917179948829,0.5303587636745808,0.0,0.5102459016393442,0.5102459016393442,0.0,0.0,1.0,1.0,0.0,1.0,0.9835390946502056,0.0164609053497942,0.9835390946502056
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,10,10,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7492552135054618,0.4877800407331975,0.998062015503876,0.5770900110484467,0.5159112825458052,0.9969293756397134,0.4810180930939082,0.5175003316706897,0.0,0.4923234390992835,0.4923234390992835,0.0,0.0,0.9979166666666668,0.9979166666666668,0.0,1.0,0.9959758551307848,0.0040241448692153,0.9959758551307848
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,11,11,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7522343594836147,0.4938900203665988,0.998062015503876,0.5647353350820561,0.5074478649453823,0.997020854021847,0.4895729890764647,0.5089641434262948,0.0,0.4836146971201588,0.4836146971201588,0.0,0.0,0.9979423868312756,0.9979423868312756,0.0,1.0,0.9961612284069098,0.0038387715930902,0.9961612284069098
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,12,12,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.76266137040715,0.5173116089613035,0.996124031007752,0.5786532954976794,0.5250501002004008,0.9960629921259844,0.4710128919255835,0.5271253970391375,0.0,0.5039370078740157,0.5039370078740157,0.0,0.0,1.0,1.0,0.0,1.0,0.9921259842519684,0.0078740157480314,0.9921259842519684
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,13,13,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.753227408142999,0.4969450101832994,0.997093023255814,0.5571800863258124,0.5010121457489879,0.9961013645224172,0.4950892187734292,0.5029730543429174,0.0,0.4785575048732943,0.4785575048732943,0.0,0.0,0.9979550102249488,0.9979550102249488,0.0,1.0,0.994413407821229,0.0055865921787709,0.994413407821229
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,14,14,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7497517378351539,0.4898167006109979,0.997093023255814,0.561882737597668,0.5019880715705766,0.9970238095238096,0.4950357379532329,0.5034865434260111,0.0,0.4801587301587302,0.4801587301587302,0.0,0.0,1.0,1.0,0.0,1.0,0.9943074003795066,0.0056925996204933,0.9943074003795066
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,15,15,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.759682224428997,0.5101832993890021,0.997093023255814,0.5823406026812604,0.5261083743842364,0.996996996996997,0.4708886226127605,0.5276930381625022,0.0,0.5045045045045045,0.5045045045045045,0.0,0.0,1.0,1.0,0.0,1.0,0.993975903614458,0.0060240963855421,0.993975903614458
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,16,16,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7512413108242304,0.4949083503054989,0.99515503875969,0.5717547376049769,0.5108481262327417,0.995,0.4841518737672583,0.5134152022439615,0.0,0.491,0.491,0.0,0.0,1.0,1.0,0.0,1.0,0.990272373540856,0.0097276264591439,0.990272373540856
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,17,17,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7298907646474677,0.4989816700610998,0.9496124031007752,0.6045611169037216,0.5114200595829196,0.9483614697120158,0.4369414101290962,0.5392670157068064,0.0009930486593843,0.5372393247269116,0.5362462760675273,0.0018484288354898,0.0020283975659229,1.0,0.9979716024340772,0.0020283975659229,1.0,0.8996138996138996,0.1003861003861004,0.8996138996138996
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,18,18,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7641509433962265,0.5193482688391039,0.997093023255814,0.5822952201392885,0.5294117647058824,0.9970326409495548,0.4676208762436725,0.5309873949579832,0.0,0.5074183976261127,0.5074183976261127,0.0,0.0,1.0,1.0,0.0,1.0,0.994011976047904,0.0059880239520958,0.994011976047904
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,19,19,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7497517378351539,0.4908350305498982,0.996124031007752,0.5656532516418606,0.504950495049505,0.99601593625498,0.4910654412054751,0.506970297029703,0.0,0.4840637450199203,0.4840637450199203,0.0,0.0,1.0,1.0,0.0,1.0,0.992337164750958,0.007662835249042,0.992337164750958
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,20,20,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7651439920556107,0.5193482688391039,0.999031007751938,0.5750329262191737,0.5246727089627392,0.9990205680705192,0.4743478591077799,0.5251870939715262,0.0,0.5004897159647405,0.5004897159647405,0.0,0.0,1.0,1.0,0.0,1.0,0.9980430528375732,0.0019569471624266,0.9980430528375732
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,21,21,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7423038728897716,0.4755600814663951,0.996124031007752,0.5607859217569275,0.4960861056751467,0.995967741935484,0.4998816362603371,0.4980945514471109,0.0,0.4747983870967742,0.4747983870967742,0.0,0.0,1.0,1.0,0.0,1.0,0.9923809523809524,0.0076190476190476,0.9923809523809524
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,22,22,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7408142999006951,0.4735234215885947,0.99515503875969,0.5594528978733819,0.4936336924583741,0.9949647532729105,0.5013310608145363,0.4961318386752688,0.0,0.473313192346425,0.473313192346425,0.0,0.0,1.0,1.0,0.0,1.0,0.990530303030303,0.009469696969697,0.990530303030303
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,23,23,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7527308838133069,0.4949083503054989,0.998062015503876,0.5638178403320327,0.5079681274900398,0.996039603960396,0.4880714764703562,0.5099878814760838,0.0,0.4831683168316831,0.4831683168316831,0.0,0.0,0.9959016393442623,0.9959016393442623,0.0,1.0,0.9961685823754788,0.0038314176245211,0.9961685823754788
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,24,24,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7477656405163853,0.4847250509164969,0.998062015503876,0.5578511599581618,0.4975173783515392,0.9980139026812314,0.5004965243296922,0.4985074626865672,0.0,0.4746772591857001,0.4746772591857001,0.0,0.0,1.0,1.0,0.0,1.0,0.9962335216572504,0.0037664783427495,0.9962335216572504
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,25,25,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7646474677259185,0.5203665987780041,0.997093023255814,0.5693208655820702,0.5209397344228804,0.9951690821256038,0.4742293477027234,0.5234685680851274,0.0,0.4966183574879227,0.4966183574879227,0.0,0.0,0.9961013645224172,0.9961013645224172,0.0,1.0,0.9942528735632185,0.0057471264367816,0.9942528735632185
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,26,26,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7507447864945382,0.4887983706720977,1.0,0.5494702102974507,0.4924165824064712,1.0,0.5075834175935288,0.4924165824064712,0.0,0.4682926829268293,0.4682926829268293,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,27,27,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7576961271102284,0.505091649694501,0.998062015503876,0.5754269286625788,0.5192878338278932,0.9980059820538384,0.4787181482259453,0.5203253719574195,0.0,0.4965104685942173,0.4965104685942173,0.0,0.0,1.0,1.0,0.0,1.0,0.9960552268244576,0.0039447731755424,0.9960552268244576
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,28,28,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7512413108242304,0.4928716904276985,0.997093023255814,0.5681102774865365,0.508390918065153,0.997002997002997,0.488612078937844,0.5099191472777738,0.0,0.4865134865134865,0.4865134865134865,0.0,0.0,1.0,1.0,0.0,1.0,0.9941972920696324,0.0058027079303675,0.9941972920696324
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,29,29,results/cmnist/2v4/subsampled-0.5cont,,,False,4,cuda:0,True,0.7547169811320755,0.5010183299389002,0.9961240310077519,0.5614888875832958,0.5055611729019212,0.9951219512195122,0.48956077831759104,0.5080394139455581,0.0,0.48390243902439023,0.48390243902439023,0.0,0.0,0.9979716024340771,0.9979716024340771,0.0,1.0,0.9924812030075187,0.007518796992481258,0.9924812030075187
