bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.5,bias.subsample_train.7,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.c,baselines.method,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.filter_map_labels.6,data.colors,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (lff),TPR (lff),TNR (lff),Renyi preds and s (lff),Accuracy_colour_2.0 (lff),Accuracy_colour_1.0 (lff),Accuracy_colour_0.0 (lff),Accuracy_colour_0.0-colour_1.0 (lff),Accuracy_colour_0.0-colour_2.0 (lff),Accuracy_colour_1.0-colour_2.0 (lff),Accuracy_colour_0.0÷colour_1.0 (lff),Accuracy_colour_0.0÷colour_2.0 (lff),Accuracy_colour_1.0÷colour_2.0 (lff),prob_pos_colour_2.0 (lff),prob_pos_colour_1.0 (lff),prob_pos_colour_0.0 (lff),prob_pos_colour_0.0-colour_1.0 (lff),prob_pos_colour_0.0-colour_2.0 (lff),prob_pos_colour_1.0-colour_2.0 (lff),prob_pos_colour_0.0÷colour_1.0 (lff),prob_pos_colour_0.0÷colour_2.0 (lff),prob_pos_colour_1.0÷colour_2.0 (lff),TPR_colour_2.0 (lff),TPR_colour_1.0 (lff),TPR_colour_0.0 (lff),TPR_colour_0.0-colour_1.0 (lff),TPR_colour_0.0-colour_2.0 (lff),TPR_colour_1.0-colour_2.0 (lff),TPR_colour_0.0÷colour_1.0 (lff),TPR_colour_0.0÷colour_2.0 (lff),TPR_colour_1.0÷colour_2.0 (lff),TNR_colour_2.0 (lff),TNR_colour_1.0 (lff),TNR_colour_0.0 (lff),TNR_colour_0.0-colour_1.0 (lff),TNR_colour_0.0-colour_2.0 (lff),TNR_colour_1.0-colour_2.0 (lff),TNR_colour_0.0÷colour_1.0 (lff),TNR_colour_0.0÷colour_2.0 (lff),TNR_colour_1.0÷colour_2.0 (lff)
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,1,1,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5612382234185733,0.6619144602851323,0.6844221105527638,0.8658117803889637,0.34559535333978697,0.35190918472652216,1.0,0.6480908152734779,0.6544046466602129,0.006313831386735136,0.35190918472652216,0.34559535333978697,0.9820583501063156,0.0,0.9855521155830752,0.3329896907216495,0.6525624248614259,0.3329896907216495,0.9855521155830752,0.3378712149835375,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.02180685358255452,1.0,0.9781931464174456,0.0,0.9781931464174456,0.02180685358255452,1.0,0.02180685358255452
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,0,0,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.7644683714670256,0.994908350305499,0.6587939698492462,0.6200416597197496,0.9598796389167502,0.3302373581011352,0.989065606361829,0.6588282482606939,0.02918596744507884,0.629642280815615,0.3338882233665749,0.9704913736183424,0.3440403824731785,0.3440320962888666,1.0,0.341948310139165,0.6580516898608351,0.0020837861497016164,0.6559679037111334,0.341948310139165,0.9939430472558236,0.3440320962888666,0.9847094801223242,1.0,1.0,0.0,0.015290519877675825,0.015290519877675825,1.0,0.9847094801223242,0.9847094801223242,0.9686567164179104,0.0,0.9865871833084948,0.9865871833084948,0.017930466890584418,0.9686567164179104,0.0,0.9818257654326552,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,2,2,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5555181695827726,0.6659877800407332,0.6703517587939698,0.8689642666622306,0.3455083909180652,0.32613168724279834,0.9969604863221884,0.6708287990793902,0.6514520954041233,0.01937670367526684,0.32712599116731905,0.34656177015866896,0.9439182833627277,0.0,1.0,0.342451874366768,0.6575481256332321,0.342451874366768,1.0,0.342451874366768,0.0,0.0,0.0,1.0,0.9970414201183432,0.00295857988165682,0.9970414201183432,1.0,0.9970414201183432,0.0,0.0,1.0,0.0,0.9984591679506932,0.9984591679506932,0.0015408320493066616,1.0,0.0,0.9984591679506932,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,3,3,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5619111709286676,0.6435845213849287,0.6904522613065327,0.8642901360618537,0.3372093023255814,0.3256578947368421,0.9970817120622568,0.6714238173254148,0.6598724097366755,0.011551407588739291,0.3266110397946085,0.3381962563811685,0.9657441016333941,0.0,1.0,0.32684824902723736,0.6731517509727627,0.32684824902723736,1.0,0.32684824902723736,0.0,0.0,0.0,1.0,0.9940652818991098,0.005934718100890191,0.9940652818991098,1.0,0.9940652818991098,0.0,0.0,1.0,0.0,0.9985528219971056,0.9985528219971056,0.0014471780028944006,1.0,0.0,0.9985528219971056,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,4,4,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5454239569313594,0.6720977596741344,0.6608040201005025,0.8650849880094661,0.31076923076923074,0.3270189431704885,0.9959758551307848,0.6689569119602962,0.6852066243615539,0.016249712401257776,0.32834023182976324,0.312024864024864,0.9503095684803,0.0,1.0,0.33400402414486924,0.6659959758551308,0.33400402414486924,1.0,0.33400402414486924,0.0,0.0,0.0,1.0,0.988095238095238,0.011904761904761862,0.988095238095238,1.0,0.988095238095238,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,5,5,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.6281965006729475,0.6364562118126272,0.8,0.7950560825943068,0.3153526970954357,0.573469387755102,0.9737354085603112,0.4002660208052092,0.6583827114648756,0.2581166906596664,0.5889375930192257,0.32385871390020765,0.5499032796326102,0.0,0.736734693877551,0.2928015564202335,0.4439331374573175,0.2928015564202335,0.736734693877551,0.3974314754734472,0.0,0.0,0.0,0.9908256880733946,0.9233128834355828,0.06751280463781173,0.9233128834355828,0.9908256880733946,0.9318620768007272,0.0,0.0,1.0,0.3905053598774885,1.0,0.6094946401225114,0.0,0.6094946401225114,0.3905053598774885,1.0,0.3905053598774885
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,6,6,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.598250336473755,0.7627291242362525,0.6663316582914572,0.7646806463334482,0.4654471544715447,0.32451678535096645,0.9960199004975124,0.671503115146546,0.5305727460259677,0.14093036912057827,0.3258135557219993,0.4673070831607417,0.6972151021514214,0.11788617886178862,1.0,0.3124378109452736,0.6875621890547263,0.1945516320834849,0.8821138211382114,0.3124378109452736,0.3773108590958521,0.11788617886178862,0.336231884057971,1.0,0.9874213836477987,0.012578616352201257,0.6511894995898277,0.6637681159420289,0.9874213836477987,0.3405150927720853,0.336231884057971,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,7,7,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5410497981157469,0.6558044806517311,0.6683417085427136,0.8714813972202232,0.3187984496124031,0.33028455284552843,0.997907949790795,0.6676233969452665,0.6791095001783919,0.011486103233125322,0.3309769732917455,0.31946679017762825,0.9652236135957069,0.0,0.9928861788617886,0.3420502092050209,0.6508359696567677,0.3420502092050209,0.9928861788617886,0.3445009271829484,0.0,0.0,0.0,1.0,0.9969418960244648,0.0030581039755351873,0.9969418960244648,1.0,0.9969418960244648,0.0,0.0,1.0,0.010510510510510513,0.9984101748807632,0.9878996643702526,0.0015898251192368873,0.9894894894894894,0.010527246992215146,0.9984101748807632,0.010510510510510513
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,8,8,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5454239569313594,0.6720977596741344,0.65678391959799,0.866062231678465,0.2936170212765957,0.34266409266409265,0.993975903614458,0.6513118109503653,0.7003588823378621,0.04904707138749692,0.3447408447408447,0.2953965183752417,0.8568654480071921,0.0,0.9951737451737452,0.3132530120481928,0.6819207331255523,0.3132530120481928,0.9951737451737452,0.3147721828146729,0.0,0.0,0.0,1.0,0.9935897435897436,0.006410256410256388,0.9935897435897436,1.0,0.9935897435897436,0.0,0.0,1.0,0.00728862973760933,0.9970760233918128,0.9897873936542037,0.0029239766081871066,0.9927113702623906,0.007310004018364781,0.9970760233918128,0.00728862973760933
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,9,9,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5588829071332436,0.659877800407332,0.6809045226130653,0.8681391967646874,0.3363006923837784,0.3395833333333333,0.994005994005994,0.6544226606726606,0.6577053016222156,0.003282640949554938,0.3416310720268007,0.3383286362574495,0.9903333272651142,0.0,1.0,0.3226773226773227,0.6773226773226773,0.3226773226773227,1.0,0.3226773226773227,0.0,0.0,0.0,1.0,0.9877300613496932,0.012269938650306787,0.9877300613496932,1.0,0.9877300613496932,0.0,0.0,1.0,0.0,0.9985185185185184,0.9985185185185184,0.001481481481481528,1.0,0.0,0.9985185185185184,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,10,10,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5464333781965006,0.6690427698574338,0.6648241206030151,0.8437025977124949,0.3213213213213213,0.3179959100204499,0.9969849246231156,0.6789890146026657,0.6756636033017943,0.003325411300871384,0.3189575911999472,0.32229305918822043,0.9896508227739236,0.026026026026026026,1.0,0.32160804020100503,0.6783919597989949,0.295582014174979,0.9739739739739741,0.32160804020100503,0.08092467467467468,0.026026026026026026,0.07428571428571429,1.0,0.9968847352024922,0.0031152647975077885,0.922599020916778,0.9257142857142856,0.9968847352024922,0.07451785714285715,0.07428571428571429,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,11,11,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.550471063257066,0.6466395112016293,0.6804020100502512,0.8515525342779651,0.2965235173824131,0.3340292275574113,0.9903474903474904,0.6563182627900791,0.6938239729650773,0.03750571017499815,0.3372848730501736,0.2994136101444249,0.8877172801635993,0.0,0.9895615866388308,0.31177606177606176,0.6777855248627691,0.31177606177606176,0.9895615866388308,0.31506483879901603,0.0,0.0,0.0,1.0,0.972809667673716,0.027190332326283984,0.972809667673716,1.0,0.972809667673716,0.0,0.0,1.0,0.015503875968992246,0.998581560283688,0.9830776843146956,0.0014184397163120588,0.9844961240310076,0.015525898520084569,0.998581560283688,0.015503875968992246
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,12,12,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.6207940780619112,0.6446028513238289,0.6557788944723618,0.8419717505689969,0.5691382765531062,0.3166833166833167,0.9866392600205552,0.6699559433372384,0.4175009834674488,0.25245495986978955,0.32097173659673656,0.5768453573814295,0.5564259683977993,0.0,0.996003996003996,0.3299075025693731,0.666096493434623,0.3299075025693731,0.996003996003996,0.3312311033820887,0.0,0.0,0.0,1.0,0.9755351681957186,0.024464831804281384,0.9755351681957186,1.0,0.9755351681957186,0.0,0.0,1.0,0.005822416302765648,0.9969040247678018,0.991081608465036,0.003095975232198178,0.9941775836972344,0.005840498340972995,0.9969040247678018,0.005822416302765648
